,combo,target_feature,before_rmse,before_r2,before_mape,after_rmse,after_r2,after_mape,n_worst_trees
115,"(1, 2, 20)",production_rate,1297.846112706731,-0.5208810301151712,9916320800642186.0,632.2241731603089,0.2591280720220197,9046733737266132.0,10
116,"(1, 2, 20)",production_rate,1297.846112706731,-0.5208810301151712,9916320800642186.0,416.29310855134196,0.5121669005557379,8713165054755102.0,15
117,"(1, 2, 20)",production_rate,1297.846112706731,-0.5208810301151712,9916320800642186.0,263.9432026687921,0.6906981451524996,7829449410501180.0,20
118,"(1, 2, 20)",production_rate,1297.846112706731,-0.5208810301151712,9916320800642186.0,190.88122769156564,0.7763158240727447,7239483367830450.0,25
119,"(1, 2, 20)",production_rate,1297.846112706731,-0.5208810301151712,9916320800642186.0,193.57759972618348,0.7731560803732156,7770083832137689.0,30
120,"(1, 2, 3)",OD,22.768446293586432,-1.1445809447771986,8.381242298781952,19.419887283450176,-0.8291770848474556,7.677998865965127,10
121,"(1, 2, 3)",OD,22.768446293586432,-1.1445809447771986,8.381242298781952,17.962289837797375,-0.6918846378005326,7.348426384259838,15
122,"(1, 2, 3)",OD,22.768446293586432,-1.1445809447771986,8.381242298781952,16.558858259708426,-0.5596941237505706,7.02320163646624,20
123,"(1, 2, 3)",OD,22.768446293586432,-1.1445809447771986,8.381242298781952,15.34329705990688,-0.4451992938139653,6.718930151720713,25
124,"(1, 2, 3)",OD,22.768446293586432,-1.1445809447771986,8.381242298781952,14.222977530906084,-0.33967536464565584,6.431147355186881,30
125,"(1, 2, 3)",growth_rate,0.0740737364108527,-10.651944469722874,28.812432837822143,0.0708741457900246,-10.148642570208152,28.190539620573677,10
126,"(1, 2, 3)",growth_rate,0.0740737364108527,-10.651944469722874,28.812432837822143,0.06907613905860152,-9.865812573965918,27.830198951704563,15
127,"(1, 2, 3)",growth_rate,0.0740737364108527,-10.651944469722874,28.812432837822143,0.06728852414577852,-9.584617231234287,27.46842376216164,20
128,"(1, 2, 3)",growth_rate,0.0740737364108527,-10.651944469722874,28.812432837822143,0.06552259218572293,-9.306832659631905,27.116918595649214,25
129,"(1, 2, 3)",growth_rate,0.0740737364108527,-10.651944469722874,28.812432837822143,0.06433411542935893,-9.119882927652666,26.879189498045932,30
130,"(1, 2, 3)",product_titer,2280298.4898626,-2509.626019678306,3.937487703987794e+18,1331487.8327480946,-1464.978253567965,3.1628551734373217e+18,10
131,"(1, 2, 3)",product_titer,2280298.4898626,-2509.626019678306,3.937487703987794e+18,1080840.0607925325,-1189.0131459982338,2.892392521334608e+18,15
132,"(1, 2, 3)",product_titer,2280298.4898626,-2509.626019678306,3.937487703987794e+18,942509.7175727936,-1036.7103836438923,2.728494405430883e+18,20
133,"(1, 2, 3)",product_titer,2280298.4898626,-2509.626019678306,3.937487703987794e+18,800408.5659241196,-880.2559324650423,2.5294584826439526e+18,25
134,"(1, 2, 3)",product_titer,2280298.4898626,-2509.626019678306,3.937487703987794e+18,711757.0135579959,-782.6498975337666,2.402083310792615e+18,30
135,"(1, 2, 3)",production_rate,1102.3670502121881,-8407.974470280702,1.717063493942372e+16,811.3091485409951,-6187.753479408897,1.593546038441341e+16,10
136,"(1, 2, 3)",production_rate,1102.3670502121881,-8407.974470280702,1.717063493942372e+16,681.8116482771837,-5199.932613868736,1.5923967428686742e+16,15
137,"(1, 2, 3)",production_rate,1102.3670502121881,-8407.974470280702,1.717063493942372e+16,604.3827560301404,-4609.2966927005755,1.5190311060264298e+16,20
138,"(1, 2, 3)",production_rate,1102.3670502121881,-8407.974470280702,1.717063493942372e+16,545.1994101839746,-4157.83976264229,1.5164760291828506e+16,25
139,"(1, 2, 3)",production_rate,1102.3670502121881,-8407.974470280702,1.717063493942372e+16,490.90033388241443,-3743.640566202452,1.521879702412924e+16,30
140,"(1, 2, 16)",OD,14.12740748178499,-4.039272042692798,7.8681140240470375,11.595486665185408,-3.136131264609281,7.098095924845547,10
141,"(1, 2, 16)",OD,14.12740748178499,-4.039272042692798,7.8681140240470375,10.670328568586262,-2.8061256823908867,6.797084865313213,15
142,"(1, 2, 16)",OD,14.12740748178499,-4.039272042692798,7.8681140240470375,9.868569652961554,-2.520136813329343,6.558069223303231,20
143,"(1, 2, 16)",OD,14.12740748178499,-4.039272042692798,7.8681140240470375,9.123596780018328,-2.25440362937272,6.288826152637256,25
144,"(1, 2, 16)",OD,14.12740748178499,-4.039272042692798,7.8681140240470375,8.417330544946052,-2.0024771738155724,6.029235598506256,30
145,"(1, 2, 16)",growth_rate,0.09411147597732102,-66.20104485693172,39.719994462624896,0.08712941985399847,-61.215452378814796,38.24621778867258,10
146,"(1, 2, 16)",growth_rate,0.09411147597732102,-66.20104485693172,39.719994462624896,0.08219079699509917,-57.68898960872353,37.177725832411475,15
147,"(1, 2, 16)",growth_rate,0.09411147597732102,-66.20104485693172,39.719994462624896,0.07757157789676745,-54.39059962378919,36.15093664490231,20
148,"(1, 2, 16)",growth_rate,0.09411147597732102,-66.20104485693172,39.719994462624896,0.0696149486685322,-48.709105500740236,34.296733112498565,25
149,"(1, 2, 16)",growth_rate,0.09411147597732102,-66.20104485693172,39.719994462624896,0.0651420008172862,-45.515161658368314,33.19346317205442,30
150,"(1, 2, 16)",product_titer,6326762.032288425,-5177.726888895155,6.708651167969252e+18,3270414.451340252,-2675.9749155336895,4.4304753006644065e+18,10
151,"(1, 2, 16)",product_titer,6326762.032288425,-5177.726888895155,6.708651167969252e+18,2421226.7089463705,-1980.8782179162051,3.7066989136748887e+18,15
152,"(1, 2, 16)",product_titer,6326762.032288425,-5177.726888895155,6.708651167969252e+18,1882583.719420471,-1539.975759575493,3.332276790354782e+18,20
153,"(1, 2, 16)",product_titer,6326762.032288425,-5177.726888895155,6.708651167969252e+18,1512752.6460163505,-1237.2531165532898,3.01082186931994e+18,25
154,"(1, 2, 16)",product_titer,6326762.032288425,-5177.726888895155,6.708651167969252e+18,1222838.4488842154,-999.9458746342227,2.665363830005135e+18,30
155,"(1, 2, 16)",production_rate,1790.468095679607,-11372.52927823769,6179592229281344.0,1329.823191126441,-8446.390397880921,6166185876697676.0,10
156,"(1, 2, 16)",production_rate,1790.468095679607,-11372.52927823769,6179592229281344.0,1156.9768986261101,-7348.424802665351,5839224228363096.0,15
157,"(1, 2, 16)",production_rate,1790.468095679607,-11372.52927823769,6179592229281344.0,1055.8117951493593,-6705.797174111022,5810714687652765.0,20
158,"(1, 2, 16)",production_rate,1790.468095679607,-11372.52927823769,6179592229281344.0,960.6377379201666,-6101.22626383517,5806624893352198.0,25
159,"(1, 2, 16)",production_rate,1790.468095679607,-11372.52927823769,6179592229281344.0,869.6231552660194,-5523.077441713536,5787343840948953.0,30
160,"(1, 2, 17)",OD,32.90705393386971,-10.738006220188778,12.734998873275945,29.146031331244444,-9.39644259092546,12.070456913816427,10
161,"(1, 2, 17)",OD,32.90705393386971,-10.738006220188778,12.734998873275945,27.480565668839507,-8.802367948324324,11.748810409905474,15
162,"(1, 2, 17)",OD,32.90705393386971,-10.738006220188778,12.734998873275945,25.905697071375734,-8.240609444200588,11.444684878272716,20
163,"(1, 2, 17)",OD,32.90705393386971,-10.738006220188778,12.734998873275945,24.533237792410585,-7.751050713545958,11.14195781145301,25
164,"(1, 2, 17)",OD,32.90705393386971,-10.738006220188778,12.734998873275945,23.13254254063336,-7.2514201598357815,10.835371886468495,30
165,"(1, 2, 17)",growth_rate,0.10399271569176724,-73.256822342056,41.804885944719096,0.09281917608685829,-65.27826788413702,39.54968902513385,10
166,"(1, 2, 17)",growth_rate,0.10399271569176724,-73.256822342056,41.804885944719096,0.0880271216967559,-61.85646349012528,38.533891061677885,15
167,"(1, 2, 17)",growth_rate,0.10399271569176724,-73.256822342056,41.804885944719096,0.08438909003890621,-59.25869816882685,37.74624254499619,20
168,"(1, 2, 17)",growth_rate,0.10399271569176724,-73.256822342056,41.804885944719096,0.07971884943752745,-55.92387587551219,36.70510946600794,25
169,"(1, 2, 17)",growth_rate,0.10399271569176724,-73.256822342056,41.804885944719096,0.07228267557402776,-50.61401702805974,34.99314107728341,30
170,"(1, 2, 17)",product_titer,1116997.4953566233,-906.0613866059167,1.9394054038107773e+18,791509.5236074934,-641.7478387191751,1.617467393459277e+18,10
171,"(1, 2, 17)",product_titer,1116997.4953566233,-906.0613866059167,1.9394054038107773e+18,670675.263225504,-543.6239913272036,1.3988058263244682e+18,15
